word,emotion
abhor,3
abhor,4
abhorr,4
abhorrence,4
abhorrent,3
abhorrent,4
abomin,4
abominably,4
abominate,4
abomination,3
abomination,4
admir,1
admirable,1
admirably,1
admiration,1
admire,1
ador,1
adorably,1
adoration,1
adoring,1
affect,1
affection,1
affectional,1
affectionate,1
affectionateness,1
affective,1
affright,3
afraid,3
aggrav,4
aggravate,4
aggravated,4
aggravation,4
aggress,4
aggression,3
aggression,4
aggressive,3
aggressive,4
aggressiveness,4
aggriev,2
aggrieve,2
alarm,1
alarm,3
alarmed,3
alert,3
amat,1
amative,1
amatori,1
amatory,1
amaz,1
amaze,1
amazed,1
amazement,1
amazing,1
amazingly,1
amic,1
amicability,1
amicable,1
amicableness,1
amicably,1
amok,4
amor,1
amorous,1
amorousness,1
amuck,4
anger,4
angered,4
angri,4
angrili,4
angrily,4
angry,4
animos,4
animosity,0
animus,4
annoy,4
annoyance,4
annoyed,4
annoying,4
antagon,4
antagonism,4
anticip,1
anticipate,1
anticipation,1
anxious,1
anxious,3
anxiously,3
appal,3
appall,3
appreci,1
appreciated,1
apprehens,3
apprehension,3
apprehensive,1
apprehensive,3
apprehensively,3
apprehensiveness,3
approb,1
approbative,1
approbatori,1
approbatory,1
approv,1
approval,1
approve,1
approved,1
approving,1
ardor,1
ardour,1
astoni,1
astonied,1
astonish,1
astonished,1
astonishing,1
astonishingly,1
astonishment,1
astound,1
astounded,1
astounding,1
atroci,3
atrocious,3
atrocious,4
attach,1
attachment,1
attrit,2
attrition,2
avarici,4
avaricious,4
avid,1
avidity,1
avidness,1
aw,1
aw,3
awe,1
awed,1
awestricken,1
awestruck,1
awful,0
awfully,3
bad,0
bad_blood,4
bad_temp,4
bad_temper,4
baffl,1
baffl,4
baffle,1
baffled,4
balk,4
balked,4
bang,0
banter,1
barrack,1
bash,3
bashfully,3
be_on_cloud_nin,1
be_on_cloud_nine,1
beam,1
beaming,1
beat,1
becharm,1
bedevil,4
begrudg,4
begrudge,4
begrudging,4
beguil,1
beguile,1
beguiled,1
belliger,4
belligerence,4
belligerency,4
belligerent,3
belligerent,4
belligerently,4
belong,1
belonging,1
benef,1
benefic,1
beneficed,1
beneficence,1
beneficent,1
benefici,1
beneficially,1
benevol,1
benevolence,1
benevolent,1
benevolently,1
bereav,2
bereaved,2
bereft,2
besot,1
bewild,1
bewilder,1
bewitch,1
bewitching,1
bitter,4
bitterness,2
bitterness,4
blith,1
blithely,1
blitheness,1
blue,2
blue_devil,2
blue_devils,2
bode,3
boding,3
bonheur,1
bore,2
bored,2
bother,4
bothersom,4
bothersome,4
brokenhearted,2
brokenheartedness,2
brood,4
brother,1
brotherhood,1
brotherlik,1
brotherlike,1
brotherly,1
browbeaten,3
bulli,3
bullied,3
buoyanc,1
buoyancy,1
calf_lov,1
calf_love,1
captiv,1
captivate,1
captivated,1
captivating,1
captivation,1
captur,1
capture,1
care,1
carefre,1
carefree,1
carefreeness,1
caring,1
cast_down,2
catch,1
chafe,4
chaff,0
charg,1
charge,1
charit,1
charitable,1
charm,1
charmed,1
cheer,1
cheer_up,1
cheerful,1
cheerfully,1
cheerfulness,1
cheeri,1
cheering,1
cheerless,2
cheerlessly,2
cheerlessness,2
cheery,1
chill,3
chilling,3
chirk_up,1
choler,4
choleric,4
churn_up,4
class_feel,4
class_feeling,4
cliff-hang,1
cliff-hang,3
cliff-hanging,1
cliff-hanging,3
close,1
closeness,1
coldhearted,3
coldheartedness,3
comfort,1
comfortable,1
comfortableness,1
comfortably,1
comforting,1
commend,1
commendable,1
compat,1
compatibility,1
compatible,1
compatibly,1
complac,1
complacence,1
complacency,1
complacent,1
compunct,2
compunction,2
concern,1
congratul,1
congratulate,1
consol,1
console,1
console,2
constern,3
consternation,3
consternation,4
contemn,4
content,1
contented,1
contentment,1
contrit,2
contrite,2
contritely,2
contriteness,2
contrition,2
covet,4
covetous,4
covetously,4
covetousness,4
cow,3
cowed,3
cower,3
crawl,3
crawl,4
creep,3
creeps,3
cring,3
cringe,0
crucifi,4
crucify,4
cruel,0
cruelli,3
cruelly,3
cruelly,4
cruelti,3
cruelty,0
crush,1
dander,4
dark,2
dash,3
daunt,3
daze,1
dazed,1
deject,2
delight,1
delighted,1
demor,2
demoralis,2
demoralising,2
demoralization,2
demoralize,2
demoralized,2
demoralized,3
demoralizing,2
deplor,2
deplorable,0
deplorably,2
depress,2
depress,3
depressed,0
depressing,2
depressing,4
depression,2
depressive,2
desol,2
desolate,2
desolation,2
desolation,3
despair,0
despairingly,2
despis,4
despisal,4
despise,4
despising,4
despit,4
despiteful,4
despond,2
despondence,2
despondency,2
despondent,2
despondently,2
detest,4
detestable,4
detestably,4
detestation,4
devil,0
devot,1
devoted,1
devotedness,1
devotion,1
diffid,3
diffidence,3
diffident,3
diffidently,3
dingi,2
dingy,2
dire,0
direful,3
disconsol,2
disconsolate,2
disconsolateness,2
discourag,2
discourag,4
discouraged,2
discouraged,4
disdain,4
disgust,0
disgusted,4
disgustedly,4
disgustful,4
disgusting,3
disgusting,4
disgustingly,4
dishearten,2
disheartened,2
disheartening,2
dismal,0
dismay,0
dispirit,2
dispirited,2
dispiritedness,2
dispiriting,2
displeas,4
displease,4
displeased,0
displeasing,4
displeasingly,4
displeasur,4
displeasure,4
distast,4
distasteful,4
distastefully,4
distress,0
distressed,2
distressed,3
dole,2
doleful,2
dolefully,2
dolefulness,2
dolor,2
dolorous,2
